heatwave,adapted_temp,group_id,sex,replicate,weight
1,30,7,m,2,0.00125
1,30,7,m,3,0.00139
1,30,7,m,4,0.00121
1,30,7,m,5,0.00146
1,30,8,f,1,0.00108
1,30,8,f,2,0.00119
1,30,8,f,3,0.00132
1,30,8,f,4,0.00144
1,30,8,f,5,0.00112
1,30,8,m,1,0.00143
1,30,8,m,2,0.00119
1,30,8,m,3,0.00154
1,30,8,m,4,0.00151
1,30,8,m,5,0.00123
1,30,9,f,1,0.0013
1,30,9,f,2,0.00138
1,30,9,f,3,0.00107
1,30,9,f,4,0.00133
1,30,9,f,5,0.00105
1,30,9,m,1,0.00155
1,30,9,m,2,0.0013
1,30,9,m,3,0.00105
1,30,9,m,4,0.00104
1,30,9,m,5,0.00128
1,30,10,f,1,0.00126
1,30,10,f,2,0.00141
1,30,10,f,3,0.00114
1,30,10,f,4,0.00129
1,30,10,f,5,0.00113
1,30,10,m,1,0.00125
1,30,10,m,2,0.00125
1,30,10,m,3,0.00104
1,30,10,m,4,0.00112
1,30,10,m,5,0.00123
1,35,1,f,1,0.00143
1,35,1,f,2,0.00145
1,35,1,f,3,0.00113
1,35,1,f,4,0.00114
1,35,1,f,5,0.00148
1,35,1,m,1,0.00139
1,35,1,m,2,0.0011
1,35,1,m,3,0.00093
1,35,1,m,4,0.00109
1,35,1,m,5,0.00109
1,35,2,f,1,0.00144
1,35,2,f,2,0.00106
1,35,2,f,3,0.0014
1,35,2,f,4,0.0013
1,35,2,f,5,0.00123
1,35,2,m,1,0.00133
1,35,2,m,2,0.00131
1,35,2,m,3,0.00132
1,35,2,m,4,0.00121
1,35,2,m,5,0.00114
1,35,3,f,1,0.0011
1,35,3,f,2,0.00126
1,35,3,f,3,0.00123
1,35,3,f,4,0.00136
1,35,3,f,5,0.0013
1,35,3,m,1,0.00126
1,35,3,m,2,0.00115
1,35,3,m,3,0.00113
1,35,3,m,4,0.00107
1,35,3,m,5,0.00116
1,35,4,f,1,0.00141
1,35,4,f,2,0.00147
1,35,4,f,3,0.00143
1,35,4,f,4,0.00136
1,35,4,f,5,0.00121
1,35,4,m,1,0.00143
1,35,4,m,2,0.00126
1,35,4,m,3,0.00169
1,35,4,m,4,0.00138
1,35,4,m,5,0.00124
1,35,5,f,1,0.00136
1,35,5,f,2,0.00122
1,35,5,f,3,0.0014
1,35,5,f,4,0.00123
1,35,5,f,5,0.00113
1,35,5,m,1,0.00113
1,35,5,m,2,0.00118
1,35,5,m,3,0.00121
1,35,5,m,4,0.00105
1,35,5,m,5,0.00171
1,35,6,f,1,NA
1,35,6,f,2,NA
1,35,6,f,3,NA
1,35,6,f,4,NA
1,35,6,f,5,NA
1,35,6,m,1,0.00116
1,35,6,m,2,NA
1,35,6,m,3,NA
1,35,6,m,4,NA
1,35,6,m,5,NA
1,35,7,f,1,0.00148
1,35,7,f,2,0.00135
1,35,7,f,3,0.00121
1,35,7,f,4,0.00147
1,35,7,f,5,0.00159
1,35,7,m,1,0.00102
1,35,7,m,2,0.0013
1,35,7,m,3,0.00126
1,35,7,m,4,0.00143
1,35,7,m,5,0.00133
1,35,8,f,1,NA
1,35,8,f,2,NA
1,35,8,f,3,NA
1,35,8,f,4,NA
1,35,8,f,5,NA
1,35,8,m,1,NA
1,35,8,m,2,NA
1,35,8,m,3,NA
1,35,8,m,4,NA
1,35,8,m,5,NA
1,35,9,f,1,0.00138
1,35,9,f,2,0.00152
1,35,9,f,3,0.00137
1,35,9,f,4,0.00101
1,35,9,f,5,0.00138
1,35,9,m,1,0.00112
1,35,9,m,2,0.00128
1,35,9,m,3,0.00112
1,35,9,m,4,0.00111
1,35,9,m,5,0.00147
1,35,10,f,1,NA
1,35,10,f,2,NA
1,35,10,f,3,NA
1,35,10,f,4,NA
1,35,10,f,5,NA
1,35,10,m,1,0.00133
1,35,10,m,2,NA
1,35,10,m,3,NA
1,35,10,m,4,NA
1,35,10,m,5,NA
